#Index #RatioCaptured #FreqIns #FreqCap #driftIns #driftCap #snrIns #snrCap #widthIns #DistanceNoiseCenter #DriftNoise #SNRNoise
0 1.0 1926.2623814865947 3.597 0 1926.267662 40 25.095453 40 0.00528339296579361 3.5616226723604894 20.0
1 1.0 1925.9762791916728 -0.009566 0 1925.976282 40 47.405328 40 -0.005210749804973602 2.6025619232250685 20.0
2 1.0 1925.690176896751 -0.0 0 1925.69018 40 50.116072 40 -0.006959773600101471 0.2671746495258731 20.0
3 1.0 1925.404074601829 0.019133 0 1925.404069 40 46.977933 40 -0.0045513734221458435 4.770154714607329 20.0
4 0.5 1925.1179723069072 0.019133 0 1925.117972 40 44.499255 40 0.0011119991540908813 -3.7670394423313 20.0
5 1.0 1924.8318700119853 4.285787 0 1924.838034 40 19.988442 40 0.006166286766529083 4.262926201356865 20.0
6 0.5 1924.5457677170634 -0.019133 0 1924.545771 40 46.968782 40 0.0011986121535301208 2.963764435585171 20.0
7 1.0 1924.2596654221416 1.329742 0 1924.264795 40 24.979688 40 0.0051353126764297485 1.302852967425926 20.0
8 1.0 1923.9735631272197 0.880117 0 1923.976276 40 24.100227 40 0.0027101486921310425 0.9073419582894204 20.0
9 1.0 1923.6874608322978 3.616133 0 1923.6927 40 24.980835 40 0.005241483449935913 3.605882755359937 20.0
10 1.0 1923.401358537376 4.783245 0 1923.406209 40 22.884095 40 0.004850327968597412 4.7999981958533855 20.0
11 0.5 1923.115256242454 0.009566 0 1923.115256 40 44.555526 40 0.0016652047634124756 -3.9337843058399233 20.0
12 0.5 1922.8291539475322 -0.028699 0 1922.829157 40 37.130729 40 -8.66129994392395e-05 -1.824730361377962 20.0
13 0.5 1922.5430516526103 0.009566 0 1922.543049 40 49.861795 40 -0.001430511474609375 4.714858122853666 20.0
14 1.0 1922.2569493576884 0.009566 0 1922.256949 40 48.323111 40 -0.006512738764286041 1.803867068852092 20.0
15 0.5 1921.9708470627666 -0.047832 0 1921.970855 40 28.143235 40 0.0013802200555801392 3.5110469677161094 20.0
16 0.5 1921.6847447678447 -0.009566 0 1921.691663 40 18.281996 40 -0.000821426510810852 2.8222978780807164 20.0
17 0.5 1921.3986424729228 -0.009566 0 1921.404264 40 19.203961 40 0.005249865353107452 1.7745230114205401 20.0
18 0.0 1921.112540178001 0.0 0 0.0 40 0.0 40 0.0019138678908348083 -3.734198403198319 20.0
19 1.0 1920.826437883079 2.190726 0 1920.831769 40 25.341735 40 0.005330890417098999 2.228450529427045 20.0
20 1.0 1920.5403355881572 3.042144 0 1920.544311 40 22.359464 40 0.003978610038757324 3.066085709468501 20.0
21 1.0 1920.2542332932353 0.784452 0 1920.260861 40 22.882446 40 0.006624497473239899 0.807517514749998 20.0
22 1.0 1919.9681309983134 -4.419718 0 1919.971165 40 28.292413 40 0.003028661012649536 -4.390126674797161 20.0
23 0.5 1919.6820287033916 -0.0 0 1919.682026 40 48.148436 40 -0.00037997961044311523 -0.7808609683270085 20.0
24 0.5 1919.3959264084697 -0.0 0 1919.395926 40 49.497696 40 0.0015087425708770752 1.6204079432135 20.0
25 1.0 1919.1098241135478 -3.05171 0 1919.113258 40 25.380536 40 0.003430992364883423 -3.039127315559207 20.0
26 0.5 1918.823721818626 -0.009566 0 1918.823722 40 49.381734 40 0.0018104910850524902 1.312483284408491 20.0
27 0.5 1918.537619523704 -0.009566 0 1918.53762 40 49.767964 40 -0.006395392119884491 -4.076532819082842 20.0
28 1.0 1918.2515172287822 -4.811944 0 1918.25361 40 25.985945 40 0.002098269760608673 -4.801096417339902 20.0
29 1.0 1917.9654149338603 -0.009566 0 1917.965415 40 48.877107 40 -0.004297122359275818 3.2298004791182535 20.0
30 1.0 1917.6793126389384 0.019133 0 1917.67931 40 49.170906 40 -0.005319714546203613 -2.8309559705827736 20.0
31 1.0 1917.3932103440166 -0.0 0 1917.39321 40 46.320888 40 -0.0035120174288749695 3.7207411284552805 20.0
32 1.0 1917.1071080490947 0.019133 0 1917.107108 40 49.896285 40 -0.005356036126613617 4.989177417200192 20.0
33 0.5 1916.8210057541728 -0.019133 0 1916.821009 40 49.427947 40 0.0016260892152786255 3.1045121668979614 20.0
34 0.5 1916.534903459251 0.019133 0 1916.534901 40 49.455598 40 -0.0010700896382331848 -2.2601410117133067 20.0
35 1.0 1916.248801164329 -0.009566 0 1916.248801 40 47.295932 40 -0.005632638931274414 1.2089706259986455 20.0
36 0.5 1915.9626988694072 -0.0 0 1915.962696 40 47.229384 40 0.0010728836059570312 1.4101768435011774 20.0
37 1.0 1915.6765965744853 0.497457 0 1915.682179 40 25.063769 40 0.005579553544521332 0.48060104169061146 20.0
38 0.5 1915.3904942795634 0.047832 0 1915.390486 40 50.663397 40 -0.0069374218583106995 -0.7791203272091685 20.0
39 1.0 1915.1043919846416 -0.54529 0 1915.107077 40 27.072906 40 0.0026850029826164246 -0.5424436620250583 20.0
40 1.0 1914.8182896897197 -0.0 0 1914.818292 40 47.827756 40 -0.005124136805534363 -2.3273015482650186 20.0
41 1.0 1914.5321873947978 -1.578471 0 1914.534797 40 27.141658 40 0.0026151537895202637 -1.6139287108866174 20.0
42 1.0 1914.246085099876 -0.028699 0 1914.246088 40 49.93498 40 -0.002193264663219452 3.5669019951049217 20.0
43 1.0 1913.959982804954 3.195208 0 1913.962863 40 25.934782 40 0.002874992787837982 3.206546731915265 20.0
44 1.0 1913.6738805100322 0.124364 0 1913.678597 40 26.475776 40 0.00471062958240509 0.15200545994724424 20.0
45 1.0 1913.3877782151103 -1.272343 0 1913.39079 40 25.773643 40 0.003009103238582611 -1.2212164007433024 20.0
46 1.0 1913.1016759201884 0.028699 0 1913.101673 40 49.476016 40 -0.005126930773258209 2.9034214643043965 20.0
47 1.0 1912.8155736252666 -0.009566 0 1912.815576 40 49.708443 40 -0.003752298653125763 -4.058974794419501 20.0
48 1.0 1912.5294713303447 -0.0 0 1912.529469 40 51.253576 40 -0.005409121513366699 -4.481194084101171 20.0
49 0.5 1912.2433690354228 -0.0 0 1912.243366 40 48.973552 40 0.0015338882803916931 0.6295567921760226 20.0
50 1.0 1911.957266740501 -1.693269 0 1911.963182 40 24.673992 40 0.005909241735935211 -1.6811228713870618 20.0
51 1.0 1911.671164445579 -0.019133 0 1911.671164 40 48.590141 40 -0.005663372576236725 3.1731342463605907 20.0
52 0.5 1911.3850621506572 0.009566 0 1911.385059 40 50.270646 40 -0.00020954757928848267 0.026026794176422507 20.0
53 0.5 1911.0989598557353 -0.0 0 1911.098963 40 53.466077 40 -0.006210990250110626 -3.8920213714633656 20.0
54 0.5 1910.8128575608134 0.009566 0 1910.812858 40 47.212549 40 -0.0018076971173286438 -2.0348801078454803 20.0
55 1.0 1910.5267552658916 -0.019133 0 1910.526761 40 49.945423 40 -0.003073364496231079 1.6040384184659184 20.0
56 0.5 1910.2406529709697 -0.028699 0 1910.240656 40 53.158645 40 -0.006649643182754517 -4.678030003358366 20.0
57 1.0 1909.9545506760478 -0.631388 0 1909.957574 40 27.45331 40 0.003020279109477997 -0.6085994354067981 20.0
58 0.5 1909.668448381126 0.019133 0 1909.668446 40 51.789542 40 -0.0006202608346939087 4.283022650163756 20.0
59 1.0 1909.382346086204 0.028699 0 1909.38234 40 53.037242 40 -0.004959292709827423 -0.06296564973508056 20.0
60 1.0 1909.0962437912822 0.009566 0 1909.096244 40 50.735817 40 -0.004735775291919708 1.3162680470858479 20.0
61 1.0 1908.8101414963603 1.63587 0 1908.81614 40 19.679999 40 0.0060014426708221436 1.608462412690962 20.0
62 1.0 1908.5240392014384 0.047832 0 1908.524028 40 43.951663 40 -0.0025173649191856384 -2.3192226262443585 20.0
63 1.0 1908.2379369065166 -0.0 0 1908.237937 40 48.796438 40 -0.004129484295845032 -0.7546971091781529 20.0
64 1.0 1907.9518346115947 0.009566 0 1907.951837 40 49.336843 40 -0.004794448614120483 1.7962153100336231 20.0
65 0.5 1907.6657323166728 0.009566 0 1907.665732 40 50.374137 40 0.0016009435057640076 2.274013622107959 20.0
66 1.0 1907.379630021751 -0.0 0 1907.37963 40 49.726459 40 -0.0035567209124565125 -3.6484723625669844 20.0
67 0.5 1907.093527726829 0.009566 0 1907.093528 40 49.969711 40 -0.0065658241510391235 -2.075351737726192 20.0
68 0.5 1906.8074254319072 0.019133 0 1906.80742 40 50.066326 40 0.0006258487701416016 1.5243599592555979 20.0
69 1.0 1906.5213231369853 -4.276221 0 1906.526523 40 26.859285 40 0.005202367901802063 -4.280377504298989 20.0
70 1.0 1906.2352208420634 -2.362923 0 1906.238442 40 26.338147 40 0.0032242387533187866 -2.3779738083522304 20.0
71 1.0 1905.9491185471416 -0.73662 0 1905.95298 40 24.165458 40 0.0038528814911842346 -0.7231669780999905 20.0
72 0.5 1905.6630162522197 -0.028699 0 1905.663022 40 47.12965 40 -0.006794929504394531 -4.1011213791393235 20.0
73 1.0 1905.3769139572978 -0.0 0 1905.376914 40 49.361429 40 -0.0050263479351997375 1.010650245801158 20.0
74 1.0 1905.090811662376 -0.0 0 1905.090809 40 49.781203 40 -0.0056996941566467285 2.147573048803426 20.0
75 1.0 1904.804709367454 4.419718 0 1904.810968 40 20.45998 40 0.006266869604587555 4.348416440077711 20.0
76 1.0 1904.5186070725322 0.019133 0 1904.518604 40 48.544728 40 -0.005453824996948242 -0.959414250890045 20.0
77 1.0 1904.2325047776103 -2.075928 0 1904.238068 40 26.506991 40 0.005562789738178253 -2.0687581493613005 20.0
78 1.0 1903.9464024826884 -4.467551 0 1903.950524 40 25.574539 40 0.004118308424949646 -4.443433846870745 20.0
79 1.0 1903.6603001877666 -3.204774 0 1903.666246 40 26.285672 40 0.005948357284069061 -3.2218816712600553 20.0
80 0.5 1903.3741978928447 -0.019133 0 1903.374203 40 48.595 40 -0.0010561197996139526 1.113935239612741 20.0
81 0.5 1903.0880955979228 -0.0 0 1903.088093 40 47.764547 40 -0.006336718797683716 -3.066668068978312 20.0
82 1.0 1902.801993303001 -0.009566 0 1902.801996 40 48.834658 40 -0.004196539521217346 2.9027770644338213 20.0
83 0.5 1902.515891008079 0.047832 0 1902.515885 40 47.987669 40 -0.0015813857316970825 -2.853502682000374 20.0
84 0.5 1902.2297887131572 0.038266 0 1902.229783 40 48.588069 40 0.006934627890586853 4.538937966301945 20.0
85 1.0 1901.9436864182353 0.019133 0 1901.943684 40 48.157485 40 -0.0028582289814949036 -1.9184035294628354 20.0
